,Date,District,Community Area,Time Period,Average Traffic condition_x,SEGMENTID,WEATHER,PER CAPITA INCOME,Day,Crime Rate,dayOfWeek,SPEED,PER CAPITA INCOME 
80,2013-12-16 08:10:00,10,29.0,morning,free flow,532,Sunny,Low,2013-12-16,0.007082152974504249,weekday,23.29134939458245,12034
81,2013-12-20 03:30:00,10,29.0,evening,free flow,532,Sunny,Low,2013-12-20,0.011655011655011656,weekday,23.29134939458245,12034
82,2013-12-29 17:30:00,10,29.0,afternoon,free flow,532,Snow,Low,2013-12-29,0.012552301255230125,weekend,23.29134939458245,12034
83,2013-12-30 12:43:00,10,29.0,afternoon,free flow,532,Cloudy,Low,2013-12-30,0.015698587127158554,weekday,23.29134939458245,12034
84,2014-10-11 15:00:00,10,29,afternoon,free flow,532,Sunny,Low,2014-10-11,0.018915510718789406,weekend,23.29134939458245,12034
85,2014-11-15 19:35:00,10,29,afternoon,free flow,532,Sunny,Low,2014-11-15,0.02406417112299465,weekend,23.29134939458245,12034
86,2014-09-30 12:43:00,10,29,afternoon,free flow,532,Cloudy,Low,2014-09-30,0.018134715025906734,weekday,23.29134939458245,12034
87,2014-04-15 12:00:00,10,29,afternoon,free flow,532,Sunny,Low,2014-04-15,0.026954177897574125,weekday,23.29134939458245,12034
88,2014-01-19 21:10:00,10,29,evening,free flow,532,Cloudy,Low,2014-01-19,0.010835913312693499,weekend,23.29134939458245,12034
89,2014-01-24 23:20:00,10,29,evening,free flow,532,Cloudy,Low,2014-01-24,0.01608187134502924,weekday,23.29134939458245,12034
90,2014-02-07 13:50:00,10,29,afternoon,free flow,532,Cloudy,Low,2014-02-07,0.03473227206946455,weekday,23.29134939458245,12034
91,2014-02-08 21:30:00,10,29,evening,free flow,532,Cloudy,Low,2014-02-08,0.02159468438538206,weekend,23.29134939458245,12034
92,2014-02-17 09:02:00,10,29,morning,free flow,532,Cloudy,Low,2014-02-17,0.015126050420168067,weekday,23.29134939458245,12034
93,2014-02-24 21:00:00,10,29,evening,free flow,532,Sunny,Low,2014-02-24,0.012718600953895072,weekday,23.29134939458245,12034
94,2014-02-25 21:56:00,10,29,evening,free flow,532,Sunny,Low,2014-02-25,0.01854714064914992,weekday,23.29134939458245,12034
95,2014-03-02 12:36:00,10,29,afternoon,free flow,532,Sunny,Low,2014-03-02,0.023722627737226276,weekend,23.29134939458245,12034
96,2014-03-16 03:17:00,10,29,evening,free flow,532,Sunny,Low,2014-03-16,0.020440251572327043,weekend,23.29134939458245,12034
97,2014-03-18 12:23:00,10,29,afternoon,free flow,532,Sunny,Low,2014-03-18,0.019583843329253364,weekday,23.29134939458245,12034
98,2014-04-03 16:25:00,10,29,afternoon,free flow,532,Cloudy,Low,2014-04-03,0.0196078431372549,weekday,23.29134939458245,12034
99,2014-04-05 05:00:00,10,29,morning,free flow,532,Sunny,Low,2014-04-05,0.009333333333333334,weekend,23.29134939458245,12034
